audit_id,baseline_id,experiment_id,route_role,canonical_path,target_user,query,query_cluster,surface,task_kind,evidence_fields,success_criteria,forbidden_claims,status,next_action
source_backed_assets_control_google_search_console,source_backed_assets_control,2026_q2_source_backed_assets_intent_validation,control,/product/github-repo-to-launch-package,product_marketer,GitHub repo to launch package,github_repo_to_launch_package,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
source_backed_assets_control_chatgpt_search,source_backed_assets_control,2026_q2_source_backed_assets_intent_validation,control,/product/github-repo-to-launch-package,product_marketer,GitHub repo to launch package,github_repo_to_launch_package,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_control_perplexity,source_backed_assets_control,2026_q2_source_backed_assets_intent_validation,control,/product/github-repo-to-launch-package,product_marketer,GitHub repo to launch package,github_repo_to_launch_package,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_control_google_ai_overview,source_backed_assets_control,2026_q2_source_backed_assets_intent_validation,control,/product/github-repo-to-launch-package,product_marketer,GitHub repo to launch package,github_repo_to_launch_package,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_control_gemini,source_backed_assets_control,2026_q2_source_backed_assets_intent_validation,control,/product/github-repo-to-launch-package,product_marketer,GitHub repo to launch package,github_repo_to_launch_package,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_control_claude,source_backed_assets_control,2026_q2_source_backed_assets_intent_validation,control,/product/github-repo-to-launch-package,product_marketer,GitHub repo to launch package,github_repo_to_launch_package,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_variant_google_search_console,source_backed_assets_variant,2026_q2_source_backed_assets_intent_validation,variant,/product/source-backed-launch-assets,product_marketer,source backed launch assets,source_backed_launch_assets,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
source_backed_assets_variant_chatgpt_search,source_backed_assets_variant,2026_q2_source_backed_assets_intent_validation,variant,/product/source-backed-launch-assets,product_marketer,source backed launch assets,source_backed_launch_assets,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_variant_perplexity,source_backed_assets_variant,2026_q2_source_backed_assets_intent_validation,variant,/product/source-backed-launch-assets,product_marketer,source backed launch assets,source_backed_launch_assets,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_variant_google_ai_overview,source_backed_assets_variant,2026_q2_source_backed_assets_intent_validation,variant,/product/source-backed-launch-assets,product_marketer,source backed launch assets,source_backed_launch_assets,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
